Year,Prscrbr_Geo_Lvl,Prscrbr_Geo_Cd,Prscrbr_Geo_Desc,RUCA_Cd,Breakout_Type,Breakout,Tot_Prscrbrs,Tot_Opioid_Prscrbrs,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,Opioid_Prscrbng_Rate_5Y_Chg,Opioid_Prscrbng_Rate_1Y_Chg,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,LA_Opioid_Prscrbng_Rate_5Y_Chg,LA_Opioid_Prscrbng_Rate_1Y_Chg
2019,State,35,New Mexico,,Totals,Overall,7943,5300,377411,7606036,4.96,-1.66,-0.37,35061,9.29,-3.34,-0.96
2019,State,36,New York,,Totals,Overall,96669,51745,2530731,100964938,2.51,-0.58,-0.14,321027,12.69,-2.3,-0.79
2019,State,37,North Carolina,,Totals,Overall,38136,27598,2722300,53081182,5.13,-1.2,-0.13,327398,12.03,-1.41,-0.57
2019,State,38,North Dakota,,Totals,Overall,3116,2146,129637,3826136,3.39,-1.32,-0.19,16694,12.88,-4.42,-1.18
2019,State,39,Ohio,,Totals,Overall,47970,32389,2508611,63695561,3.94,-1.75,-0.27,231140,9.21,-1.67,-0.69
2019,State,40,Oklahoma,,Totals,Overall,12614,8847,1073514,17897973,6,-1.62,-0.68,129608,12.07,-1.59,-1.06
2019,State,41,Oregon,,Totals,Overall,17943,12375,981883,17333654,5.66,-1.92,-0.37,122153,12.44,-5.26,-0.92
2019,State,42,Pennsylvania,,Totals,Overall,59855,36391,2777305,75524535,3.68,-1.4,-0.28,389035,14.01,-1.52,-0.76
2019,State,44,Rhode Island,,Totals,Overall,5195,3305,170718,5944591,2.87,-1.11,-0.12,17989,10.54,-1.33,-0.18
2019,State,45,South Carolina,,Totals,Overall,18528,12386,1293395,26700524,4.84,-1.6,-0.36,125500,9.7,0.03,-0.43
2019,State,46,South Dakota,,Totals,Overall,3581,2495,176907,4360946,4.06,-1.23,-0.31,25335,14.32,-2.47,-1.34
2019,State,47,Tennessee,,Totals,Overall,26130,18574,2278745,40063673,5.69,-1.68,-0.48,226305,9.93,-4.05,-0.94
2019,State,48,Texas,,Totals,Overall,79089,54983,4691289,97384038,4.82,-1.22,-0.24,366016,7.8,-0.52,-0.59
2019,State,49,Utah,,Totals,Overall,9348,6846,518490,8089284,6.41,-1.49,-0.39,69445,13.39,-1.18,-0.48
2019,State,50,Vermont,,Totals,Overall,2776,1744,109415,2685316,4.07,-1.91,-0.28,22034,20.14,-2.04,-1.07
2019,State,51,Virginia,,Totals,Overall,28336,19591,1314742,31176498,4.22,-1.7,-0.19,149169,11.35,0.01,-0.34
2019,State,53,Washington,,Totals,Overall,29869,19722,1350854,25182239,5.36,-1.81,-0.54,181545,13.44,-3.71,-1
2019,State,54,West Virginia,,Totals,Overall,7799,4881,494317,11934752,4.14,-2.26,-0.31,37203,7.53,-1.41,-0.15
2019,State,55,Wisconsin,,Totals,Overall,22753,15928,1182328,26964843,4.38,-1.63,-0.29,156183,13.21,-4.63,-1.26
2019,State,56,Wyoming,,Totals,Overall,2038,1383,91554,1854386,4.94,-1.31,-0.35,11962,13.07,-2.8,-1.5
2019,State,60,American Samoa,,Totals,Overall,2,0,0,25,0,-3.27,-11.67,0,,,
2019,State,66,Guam,,Totals,Overall,163,106,1246,75673,1.65,-0.42,-0.07,101,8.11,-1.33,-2.78
2019,State,69,Northern Mariana Islands,,Totals,Overall,30,15,120,9890,1.21,-1.7,-0.52,0,0,-6.14,
2019,State,72,Puerto Rico,,Totals,Overall,10440,5891,277937,28701504,0.97,-1.31,-0.23,5878,2.11,0.48,0.06
2019,State,78,Virgin Islands,,Totals,Overall,163,99,1977,198610,1,-0.82,0.08,74,3.74,-0.79,-3.51
2019,State,1,Alabama,,Rural/Urban,Rural,2177,1376,392586,6683686,5.87,-1.59,-0.58,22046.5,5.62,-1.93,-0.97
2019,State,2,Alaska,,Rural/Urban,Rural,946,670,30615,580471,5.27,-2.48,-1.34,6094,19.91,-1.48,-3.88
2019,State,4,Arizona,,Rural/Urban,Rural,1897,1303,144690,2388501,6.06,-1.87,-0.65,19797,13.68,-2.41,-1.97
2019,State,5,Arkansas,,Rural/Urban,Rural,2540,2032,333552,6838950,4.88,-1.29,-0.29,19391,5.81,-1.43,-0.42
2019,State,6,California,,Rural/Urban,Rural,4594,3208,372161,6131128,6.07,-2.24,-0.66,48818.5,13.12,-2.47,-0.69
2019,State,8,Colorado,,Rural/Urban,Rural,2290,1755,122576,2333587,5.25,-1.88,-0.34,16163,13.19,-3.18,-0.55
2019,State,9,Connecticut,,Rural/Urban,Rural,415,251,17373,520877,3.34,-1.54,-0.16,2125,12.23,-3.67,-1.45
2019,State,10,Delaware,,Rural/Urban,Rural,530,375,42652,996974,4.28,-2.63,-0.49,7671,17.99,-4.2,-2.58
2019,State,11,District of Columbia,,Rural/Urban,Rural,0,0,0,0,,,,0,,,
2019,State,12,Florida,,Rural/Urban,Rural,1215,741,108359,2278772,4.76,-1.3,-0.36,8999.5,8.31,-1.66,-0.96
2019,State,13,Georgia,,Rural/Urban,Rural,3778,2770,545816,11103269,4.92,-0.94,-0.06,44989.5,8.24,0.02,-0.2
2019,State,15,Hawaii,,Rural/Urban,Rural,792,549,43737,879465,4.97,-0.63,-0.2,6498.5,14.86,-2.88,-1.34
2019,State,16,Idaho,,Rural/Urban,Rural,1447,1032,104649,1903189,5.5,-1.91,-0.54,14820.5,14.16,-3.97,-1.47
2019,State,17,Illinois,,Rural/Urban,Rural,3835,2876,347647,8421230,4.13,-0.88,-0.21,32709,9.41,-2.58,-0.96
2019,State,18,Indiana,,Rural/Urban,Rural,3620,2617,363155,7719188,4.7,-1.47,-0.13,32372,8.91,-3.44,-1.16
